GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  D2O-1mm 
Start: 27-Oct-25  00:17:48   End: 27-Oct-25  01:17:48 
  
Foreground:  72122 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background:  72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam:  72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.93681 +/- 0.0011573  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72152/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.1 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 2 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 174340 
Total Monitor Counts: 39993487 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72122 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.100033	0.0372061	0.000106511	0.00389819
0.103498	0.0369786	0.000103922	0.00401837
0.106997	0.0371294	0.000102164	0.00414052
0.110521	0.0371571	9.97058e-05	0.00428952
0.114072	0.037146	9.78805e-05	0.00441361
0.117659	0.0372933	9.60805e-05	0.00451948
0.12131	0.0371551	9.32813e-05	0.00464738
0.124981	0.0371568	9.25709e-05	0.00477704
0.128654	0.0371996	9.07068e-05	0.00490712
0.132356	0.0370661	8.93029e-05	0.00503801
0.136114	0.0372403	8.71713e-05	0.00517079
0.139886	0.037226	8.67705e-05	0.00530538
0.143726	0.0370908	8.39186e-05	0.00544229
0.14763	0.0370914	8.29267e-05	0.00560396
0.151571	0.0372158	8.11932e-05	0.00574398
0.155564	0.0372435	8.04643e-05	0.005886
0.159561	0.0371755	7.92779e-05	0.00602839
0.163604	0.037239	7.76366e-05	0.00617308
0.167716	0.0372749	7.56868e-05	0.00632029
0.171871	0.0373668	7.4868e-05	0.0064692
0.176061	0.0372438	7.31805e-05	0.00661947
0.180358	0.0372333	7.06835e-05	0.00679401
0.184689	0.0374703	7.01641e-05	0.0069491
0.189033	0.0374713	6.87856e-05	0.00710483
0.193461	0.0374409	6.66521e-05	0.00726362
0.197942	0.0372191	6.56904e-05	0.0074249
0.202473	0.0374704	6.42105e-05	0.00758808
0.207023	0.0374097	6.36301e-05	0.00775202
0.211685	0.0373714	6.6496e-05	0.00793882
0.216388	0.0373772	6.71191e-05	0.00810927
0.221186	0.0375316	6.82848e-05	0.00828891
0.226035	0.0373719	6.56955e-05	0.00847046
0.230988	0.0375052	6.39428e-05	0.00863613
0.235952	0.0372126	6.07012e-05	0.00882155
0.240977	0.0373203	5.86819e-05	0.00899892
0.246089	0.0372312	5.66841e-05	0.00918968
0.251271	0.0373559	5.52658e-05	0.00938303
0.256516	0.0372957	5.37998e-05	0.00957876
0.261857	0.0373135	5.23637e-05	0.00977802
0.267298	0.0373333	5.10825e-05	0.00998102
0.272801	0.037165	5.02499e-05	0.0101863
0.278373	0.0372676	4.89488e-05	0.0103942
0.284019	0.0372116	4.8084e-05	0.0105947
0.289691	0.0371333	4.79889e-05	0.0108061
0.295526	0.0372329	4.85802e-05	0.0110237
0.301428	0.0371892	4.86396e-05	0.0112437
0.307396	0.0372624	4.8795e-05	0.0114419
0.313473	0.037177	4.83372e-05	0.0116679
0.319665	0.0371864	4.82608e-05	0.0118983
0.325901	0.0371952	5.01709e-05	0.0121303
0.332113	0.0371461	5.53366e-05	0.0123519
0.338631	0.0372268	6.47952e-05	0.0125943
0.345174	0.0373555	7.27824e-05	0.0128376
0.351819	0.0371905	8.34254e-05	0.0130846
0.358511	0.0373558	9.84784e-05	0.0133335
0.365262	0.0372624	0.000121328	0.0135845
0.372245	0.0372278	0.000160132	0.0138441
0.379313	0.0374452	0.000208085	0.014107
0.385965	0.0375705	0.00032348	0.0143543
0.391605	0.039143	0.0010714	0.014564
