GRASP_Variant V.10.38c    Instrument:  ILL_d11_plus2025 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  PEG-PNIPAM-596-24-0p625 
Start: 28-Oct-25  04:48:33   End: 28-Oct-25  05:48:33 
  
Foreground:  72237 , Loaded: 72065+72074+72081+72122,72066+72075+72082,72067+72076+72083,72068+72077+72084,72085+72114,72086+72115,72087,72088+72116,72117,72118,72119,72120,72123,72124,72125,72126,72158,72159,72160,72161,72162,72163,72164,72165,72166,72204,72205,72206,72207,72208,72209,72210,72211,72212,72213,72214,72236,72237 
Background: Sum 72073+72064+72080+72127 , Loaded: 72073+72064+72080+72127 
Blocked Beam: Sum 72072+72079 , Loaded: 72072+72079 
  
Beam Centre1 [x, y]:  [125, 95.2]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1  256    1  192]  :  Numor #72069 
Beam Centre2 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Beam Centre3 [x, y]:  [14.8, 126]  :  Cm Translation:  [0, 0] [mm]  :  ROI: [1   32    1  256]  :  Numor #0 
Transmissions:  Ts = 0.87441 +/- 0.0014096  Te = 0.95954 +/- 0.0010271 
Transmission Numors: Ts:  #72224/ #72157;  ROI:  121  132   99  109 
Transmission Numors: Te:  #72157/ #72089;  ROI:  121  132   99  109 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D11_plus Detector Parallax 
Data: Corrected for Detector Efficiency 
Data: Corrected for Relative Detector Efficiency (variation between detector panels) 
Data: Divided by Volume 
Sample Thickness is: 0.2 [cm] 
Solid Angle Correction: 
Divide data by Empty Beam Flux, I0, from worksheet: I0 Beam Intensity 3 39 
I0 Numor #72069   ROI: 110  145   87  104    1 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Instrument Setup Parameters ***** 
Sample-Det(detcalc)1 Dist (m): 38.9 
Sample-Det(detcalc)2 Dist (m): 38.795 
Sample-Det(detcalc)3 Dist (m): 38.795 
Collimation (m): 34.4 
Wavelength: 9, Delta Wav: 0.09 
Total Det Counts: 655787 
Total Monitor Counts: 29627447 
  
***** Analysis ***** 
Merge IQ through Worksheet Number 
Numors:  72237 
Averaging I vs. Q.  Bin size:  5 [Fractional Resolution]  log10 
 
 
***** Data ***** 
Mod_Q	I	Err_I	Sigma_Q	
 
 
0.0798794	0.0523248	0.000122752	0.0032098
0.0831679	0.0508447	0.000118045	0.00332113
0.0864969	0.0495607	0.000113498	0.00343317
0.0898466	0.0487685	0.000110764	0.00354814
0.0931894	0.0480648	0.0001079	0.00366165
0.096587	0.0470675	0.000103571	0.00377947
0.100033	0.0465822	0.000100989	0.00389819
0.103498	0.0459553	9.81815e-05	0.00401837
0.106997	0.0455178	9.59581e-05	0.00414052
0.110521	0.0453462	9.35661e-05	0.00428952
0.114072	0.0449287	9.1473e-05	0.00441361
0.117659	0.0447809	8.95111e-05	0.00451948
0.12131	0.0445074	8.67075e-05	0.00464738
0.124981	0.0442823	8.58427e-05	0.00477704
0.128654	0.0440957	8.39218e-05	0.00490712
0.132356	0.0440979	8.26065e-05	0.00503801
0.136114	0.0439365	8.04529e-05	0.00517079
0.139886	0.0438917	7.98757e-05	0.00530538
0.143726	0.0436547	7.70448e-05	0.00544229
0.14763	0.0436346	7.60982e-05	0.00560396
0.151571	0.0435506	7.42396e-05	0.00574398
0.155564	0.0436139	7.34947e-05	0.005886
0.159561	0.0436006	7.23937e-05	0.00602839
0.163604	0.0436029	7.08938e-05	0.00617308
0.167716	0.0435588	6.91102e-05	0.00632029
0.171871	0.0435898	6.83398e-05	0.0064692
0.176061	0.0435251	6.69329e-05	0.00661947
0.180358	0.0435368	6.47724e-05	0.00679401
0.184689	0.0435242	6.4329e-05	0.0069491
0.189033	0.043489	6.31198e-05	0.00710483
0.193461	0.0435441	6.13979e-05	0.00726362
0.197942	0.0434624	6.0647e-05	0.0074249
0.202473	0.04367	5.94061e-05	0.00758808
0.207023	0.0436157	5.87875e-05	0.00775202
0.211685	0.0435998	6.13964e-05	0.00793882
0.216388	0.0436686	6.20333e-05	0.00810927
0.221186	0.0436624	6.28555e-05	0.00828891
0.226035	0.0435558	6.05909e-05	0.00847046
0.230988	0.0436184	5.90671e-05	0.00863613
0.235952	0.0435725	5.63188e-05	0.00882155
0.240977	0.0436504	5.45491e-05	0.00899892
0.246089	0.0435772	5.28381e-05	0.00918968
0.251271	0.0436012	5.1612e-05	0.00938303
0.256516	0.0434938	5.0265e-05	0.00957876
0.261857	0.0435878	4.9067e-05	0.00977802
0.267298	0.0434917	4.78151e-05	0.00998102
0.272801	0.0434422	4.70342e-05	0.0101863
0.278373	0.043398	4.58224e-05	0.0103942
0.284019	0.0434269	4.50658e-05	0.0105947
0.289691	0.0434514	4.50668e-05	0.0108061
0.295526	0.0434718	4.56407e-05	0.0110237
0.301428	0.04346	4.57417e-05	0.0112437
0.307396	0.0434742	4.58965e-05	0.0114419
0.313473	0.0434525	4.55328e-05	0.0116679
0.319665	0.0434443	4.54742e-05	0.0118983
0.325901	0.0434784	4.72704e-05	0.0121303
0.332113	0.0435628	5.21215e-05	0.0123519
0.338631	0.0435755	6.08659e-05	0.0125943
0.345174	0.0437199	6.82761e-05	0.0128376
0.351819	0.0435727	7.81716e-05	0.0130846
0.358511	0.0439139	9.26162e-05	0.0133335
0.365262	0.043848	0.000114573	0.0135845
0.372245	0.0437175	0.000151905	0.0138441
0.379313	0.0441038	0.000197868	0.014107
0.385965	0.0439677	0.000306114	0.0143543
0.391605	0.0443799	0.00101168	0.014564
